direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"SHA_MUN",09.02.2026 5:55,27.02.2026 5:10,5228.14,14.8,18.9,4812
"SHA_MUN",31.07.2025 22:55,20.08.2025 18:50,5355.12,13.1,17.7,4809
"SHA_MUN",23.01.2026 2:00,07.02.2026 23:29,5221.59,14.3,17.0,963
"SHA_MUN",16.10.2025 7:11,04.11.2025 16:49,5439.72,12.7,15.9,449
"SHA_MUN",19.12.2025 9:53,06.01.2026 23:55,5172.2,14.6,17.0,4297
"SHA_MUN",18.09.2025 20:28,09.10.2025 21:38,5322.91,13.3,17.7,1408
"SHA_MUN",21.06.2025 2:47,08.07.2025 18:17,5166.81,13.9,17.2,0
"SHA_MUN",28.11.2025 3:05,15.12.2025 15:15,5254.38,13.5,17.8,1119
"SHA_MUN",25.08.2025 22:39,14.09.2025 21:50,5381.9,13.0,16.8,2180
"SHA_MUN",22.11.2024 1:28,08.12.2024 10:32,5116.28,13.6,18.4,696
"SHA_MUN",26.01.2026 3:16,15.02.2026 5:48,5401.33,13.9,18.0,4043
"SHA_MUN",25.12.2025 14:28,12.01.2026 20:23,5269.18,13.8,18.0,1917
"SHA_MUN",01.11.2025 5:44,23.11.2025 23:12,6606.04,14.7,18.4,5696
"SHA_MUN",27.02.2026 7:24,18.03.2026 18:03,6101.76,14.7,18.7,2947
