direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn
"DUD_MMK",13.01.2026 22:02,19.01.2026 21:25,1359.82,9.5,12.9
"DUD_MMK",20.07.2025 14:37,25.07.2025 10:46,1325.43,11.0,13.2
"DUD_MMK",14.03.2025 22:33,21.03.2025 18:16,1389.97,8.5,14.0
"DUD_MMK",24.02.2025 19:43,02.03.2025 18:24,1409.62,10.2,14.8
"DUD_MMK",18.12.2024 0:29,23.12.2024 21:24,1366.29,9.6,9.6
"DUD_MMK",29.11.2024 6:16,06.12.2024 3:23,1336.43,9.3,11.9
"DUD_MMK",11.11.2024 6:03,16.11.2024 17:12,1406.01,10.8,14.7
"DUD_MMK",21.01.2026 6:16,26.01.2026 16:57,1395.46,10.1,10.1
"DUD_MMK",26.11.2025 23:49,03.12.2025 4:07,1423.72,9.5,9.5
"DUD_MMK",06.11.2025 21:33,12.11.2025 17:00,1423.61,10.1,10.1
"DUD_MMK",20.09.2025 23:31,25.09.2025 18:27,1495.14,12.3,12.3
"DUD_MMK",04.09.2025 15:42,09.09.2025 12:50,1364.74,11.4,14.0
"DUD_MMK",20.08.2025 18:45,25.08.2025 6:00,1360.59,12.2,14.9
"DUD_MMK",02.08.2025 1:56,06.08.2025 20:19,1358,11.5,15.0
"DUD_MMK",10.04.2025 11:11,16.04.2025 14:18,1467.53,10.2,14.9
"DUD_MMK",22.03.2025 1:28,28.03.2025 13:24,1483.91,9.7,14.9
"DUD_MMK",01.03.2025 4:57,06.03.2025 14:24,1395.18,11.0,16.9
"DUD_MMK",10.02.2025 2:20,16.02.2025 10:51,1380.11,9.4,9.4
"DUD_MMK",24.01.2025 15:28,29.01.2025 16:06,1368.36,11.0,16.7
"DUD_MMK",21.12.2024 22:24,26.12.2024 9:27,1372.68,12.7,16.9
"DUD_MMK",17.01.2026 4:37,22.01.2026 16:40,1370.18,10.1,13.0
"DUD_MMK",24.07.2025 19:53,30.07.2025 11:05,1431.75,11.6,11.6
"DUD_MMK",10.05.2025 16:30,16.05.2025 13:39,1425.61,9.9,13.1
"DUD_MMK",08.04.2025 0:35,14.04.2025 15:32,1414.17,8.8,14.4
"DUD_MMK",05.03.2025 3:00,10.03.2025 15:31,1381.59,10.6,15.0
"DUD_MMK",13.01.2025 21:59,19.01.2025 19:16,1461.24,11.1,15.7
"DUD_MMK",25.12.2024 1:26,30.12.2024 12:16,1447.17,10.8,15.5
"DUD_MMK",07.12.2024 14:13,12.12.2024 13:13,1361.21,11.3,15.6
"DUD_MMK",06.11.2024 7:22,10.11.2024 17:00,1406.11,12.9,15.3
"DUD_MMK",08.03.2026 22:20,15.03.2026 13:29,1542.27,9.4,9.4
"DUD_MMK",07.02.2026 4:54,12.02.2026 17:00,1400.15,10.5,10.5
"DUD_MMK",03.12.2025 23:30,08.12.2025 18:28,1369.75,11.7,11.7
"DUD_MMK",17.11.2025 7:15,22.11.2025 19:03,1381.87,10.2,10.2
"DUD_MMK",31.10.2025 22:19,06.11.2025 5:33,1355.35,10.3,10.3
"DUD_MMK",16.10.2025 7:08,21.10.2025 15:15,1383.81,10.2,10.2
"DUD_MMK",13.09.2025 5:37,17.09.2025 18:26,1346.72,11.9,15.0
"DUD_MMK",05.05.2025 15:16,11.05.2025 7:42,1396.15,10.0,14.1
"DUD_MMK",17.04.2025 0:55,22.04.2025 14:59,1464.95,11.3,15.7
"DUD_MMK",28.03.2025 18:23,04.04.2025 6:09,1418.24,9.2,16.1
"DUD_MMK",11.03.2025 1:57,16.03.2025 14:36,1393.48,10.6,10.6
"DUD_MMK",20.02.2025 17:56,26.02.2025 19:52,1400.35,9.5,15.4
"DUD_MMK",21.01.2025 7:22,27.01.2025 3:54,1350.35,9.7,14.2
"DUD_MMK",02.01.2025 20:31,07.01.2025 23:46,1360.21,10.6,12.9
"DUD_MMK",03.12.2024 21:47,09.12.2024 11:58,1427.18,10.9,10.9
"DUD_MMK",15.11.2024 9:49,20.11.2024 19:30,1392,10.2,14.5
"DUD_MMK",29.12.2024 4:16,04.01.2025 7:19,1364.76,9.7,14.1
"DUD_MMK",08.12.2025 22:04,14.12.2025 14:34,1384.43,10.2,10.2
"DUD_MMK",13.11.2025 1:50,20.11.2025 3:43,1443.98,8.5,11.6
"DUD_MMK",14.12.2024 1:47,20.12.2024 12:17,1403.58,8.9,11.8
"DUD_MMK",19.08.2026 22:37,24.08.2026 14:08,1328.58,11.4,15.0
"DUD_MMK",03.08.2026 17:32,08.08.2026 13:12,1410.21,11.6,15.1
