direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn
"MMK_DUD",24.12.2025 1:58,06.01.2026 13:11,1872.05,10.2,15.6
"MMK_DUD",25.08.2025 8:37,05.09.2025 0:50,1898.54,11.9,11.9
"MMK_DUD",28.06.2025 21:39,13.07.2025 2:29,1755.22,11.4,13.6
"MMK_DUD",13.01.2025 22:38,27.01.2025 1:14,1817.56,12.1,12.1
"MMK_DUD",29.12.2024 10:44,15.01.2025 9:28,1857.39,10.6,10.6
"MMK_DUD",22.02.2026 15:03,10.03.2026 13:45,2081.01,9.6,15.9
"MMK_DUD",26.01.2026 15:29,09.02.2026 13:52,1919.22,10.1,10.1
"MMK_DUD",15.07.2025 19:25,21.07.2025 22:43,1392.94,11.3,11.3
"MMK_DUD",26.06.2025 18:05,02.07.2025 18:34,1346.53,11.5,11.5
"MMK_DUD",17.04.2025 9:03,01.05.2025 18:01,2029.62,10.6,15.7
"MMK_DUD",13.03.2025 14:47,30.03.2025 21:02,1902.22,9.7,9.7
"MMK_DUD",09.02.2025 4:57,23.02.2025 13:20,1859.78,10.3,16.1
"MMK_DUD",13.11.2024 11:19,27.11.2024 1:02,1844.63,11.6,17.3
"MMK_DUD",14.02.2026 21:29,02.03.2026 18:47,2407.17,10.6,10.6
"MMK_DUD",17.01.2026 4:47,31.01.2026 14:24,1964.62,10.4,10.4
"MMK_DUD",29.01.2025 10:00,14.02.2025 0:54,1881.62,9.9,9.9
"MMK_DUD",11.12.2024 22:20,23.12.2024 18:19,1808,10.7,15.1
"MMK_DUD",25.10.2024 22:01,06.11.2024 9:54,1838.27,12.1,17.7
"MMK_DUD",29.06.2026 03:59,11.07.2026 21:53,1809.12,10.6,14.1
"MMK_DUD",06.08.2026 06:34,21.08.2026 22:19,1973.84,10.9,14.5
"MMK_DUD",12.06.2026 01:20,25.06.2026 14:01,2060.56,11.9,11.9
"MMK_DUD",02.02.2026 18:48,17.02.2026 19:01,2095.48,10.5,10.5
"MMK_DUD",05.01.2026 9:53,18.01.2026 16:28,2305.00,10.8,10.8
"MMK_DUD",01.12.2025 19:31,19.12.2025 18:53,2405.47,11.4,11.4
"MMK_DUD",03.11.2025 10:16,16.11.2025 14:23,1821.41,11.1,17.3
"MMK_DUD",04.10.2025 9:28,16.10.2025 17:37,1854.00,13.2,13.2
"MMK_DUD",07.09.2025 22:18,18.09.2025 13:18,1841.61,11.7,16.0
"MMK_DUD",22.07.2025 16:12,04.08.2025 22:27,1823.05,11.7,16.1
"MMK_DUD",10.06.2025 17:40,02.07.2025 21:15,1829.86,11.1,14.0
"MMK_DUD",29.04.2025 6:00,10.05.2025 16:29,1864.85,9.2,13.7
"MMK_DUD",28.03.2025 0:42,12.04.2025 17:34,1876.33,9.5,9.5
"MMK_DUD",23.02.2025 10:29,08.03.2025 13:24,1901.53,10.6,10.6
"MMK_DUD",19.12.2024 20:20,03.01.2025 9:25,1955.91,10.8,10.8
