direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"SPB_SUE",20.12.2025 22:22,04.01.2026 6:00,4775.32,14.3,17.3,978
"SPB_SUE",14.09.2025 20:53,02.10.2025 5:54,5352.77,15.0,15.0,0
"SPB_SUE",21.06.2025 10:50,05.07.2025 5:10,4768.67,14.8,14.8,0
"SPB_SUE",03.12.2025 13:41,19.12.2025 8:06,4772.56,12.9,17.0,26
"SPB_SUE",27.08.2025 14:05,12.09.2025 5:33,4965.67,14.6,14.6,0
"SPB_SUE",14.02.2026 7:10,02.03.2026 8:04,4816.84,13.9,13.9,0
"SPB_SUE",04.11.2025 22:35,19.11.2025 3:56,4779.49,14.4,14.4,0
"SPB_SUE",11.01.2026 12:44,26.01.2026 6:30,4782.0,13.6,18.7,653
"SPB_SUE",12.10.2025 22:28,26.10.2025 5:52,4779.84,15.3,18.6,61
"SPB_SUE",08.04.2025 23:06,23.04.2025 8:31,4782.56,13.5,18.0,781
"SPB_SUE",05.01.2025 12:13,21.01.2025 3:32,4791.11,13.8,16.6,1626
"SPB_SUE",10.12.2025 21:21,25.12.2025 6:25,4796.39,14.4,19.1,0
"SPB_SUE",30.08.2025 12:11,14.09.2025 4:58,4799.05,14.2,14.2,0
"SPB_SUE",25.12.2024 0:29,07.01.2025 10:01,4779.12,15.5,19.3,948
"SPB_SUE",11.02.2026 23:23,27.02.2026 8:16,4807.59,14.0,14.0,0
"SPB_SUE",22.11.2024 12:56,07.12.2024 7:01,4725.43,11.1,17.8,0
"SPB_SUE",14.08.2025 23:56,28.08.2025 5:47,4782.85,14.8,18.6,502
"SPB_SUE",07.11.2025 1:11,21.11.2025 5:28,4773.54,14.0,19.0,618
"SPB_SUE",28.06.2026 12:23,13.07.2026 04:26,4806.03,-1.0,-1.0,0
"SPB_SUE",13.07.2026 00:26,27.07.2026 23:54,4745.20,-1.0,-1.0,0
"SPB_SUE",13.06.2026 21:48,28.06.2026 07:36,4867.90,-1.0,-1.0,0
"SPB_SUE",24.07.2026 13:28,07.08.2026 07:42,4791.81,-1.0,-1.0,0
"SPB_SUE",16.06.2026 21:44,01.07.2026 03:57,4792.72,-1.0,-1.0,0
"SPB_SUE",20.03.2025 12:27,05.06.2025 5:36,5005.06,12.4,12.4,0
"SPB_SUE",15.12.2024 13:24,03.03.2025 6:07,4692.25,14.5,18.5,0
"SPB_SUE",30.01.2025 12:20,18.04.2025 7:41,4786.65,12.3,15.5,0
"SPB_SUE",19.02.2025 2:21,01.05.2025 7:13,4740.52,13.5,17.6,0
"SPB_SUE",29.10.2025 12:52,19.11.2025 4:08,4919.77,13.9,20.1,0
