direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"MUN_SUE",27.02.2026 14:40,08.03.2026 6:49,2936.07,14.7,21.5,1025
"MUN_SUE",24.11.2025 7:16,03.12.2025 9:54,2944.89,14.3,17.4,0
"MUN_SUE",21.08.2025 3:38,31.08.2025 6:13,3257.76,13.1,13.1,0
"MUN_SUE",08.02.2026 6:17,17.02.2026 7:15,2959.59,14.2,14.2,0
"MUN_SUE",05.11.2025 4:09,14.11.2025 7:01,2947.06,13.7,18.0,841
"MUN_SUE",02.08.2025 19:31,12.08.2025 5:56,3306.4,13.3,13.3,0
"MUN_SUE",07.01.2026 13:19,16.01.2026 7:19,2919.38,14.3,18.0,897
"MUN_SUE",10.10.2025 4:11,19.10.2025 7:06,2936.02,14.6,14.6,0
"MUN_SUE",09.07.2025 8:21,19.07.2025 6:02,3151.54,13.0,13.0,0
"MUN_SUE",16.12.2025 1:01,25.12.2025 7:02,2944.32,13.7,17.0,0
"MUN_SUE",15.09.2025 11:30,24.09.2025 5:13,2946.26,14.1,17.4,442
"MUN_SUE",11.06.2025 17:18,21.06.2025 6:05,3119.76,13.4,13.4,1249
"MUN_SUE",08.12.2024 19:29,18.12.2024 0:54,2917.73,12.5,17.7,587
"MUN_SUE",15.02.2026 11:07,25.02.2026 12:22,2958.31,14.4,18.4,0
"MUN_SUE",13.10.2025 3:46,21.10.2025 6:58,2928.76,15.1,18.4,0
"MUN_SUE",03.06.2026 15:05,12.06.2026 05:33,3420.61,-1.0,-1.0,0
"MUN_SUE",16.06.2026 18:30,25.06.2026 23:05,2952.55,-1.0,-1.0,0
"MUN_SUE",27.06.2026 08:46,07.07.2026 05:08,3202.30,-1.0,-1.0,0
