direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"YAN_RIZ",24.10.2025 0:52,28.10.2025 7:28,1137.23,11.1,15.2,28
"YAN_RIZ",25.07.2025 7:39,28.07.2025 14:59,1148.39,14.6,17.0,101
"YAN_RIZ",12.01.2026 0:39,15.01.2026 16:24,1183.33,13.3,16.5,0
"YAN_RIZ",10.12.2025 19:25,14.12.2025 7:37,1144.46,13.4,15.6,0
"YAN_RIZ",09.09.2025 23:47,13.09.2025 6:44,1167.57,14.6,16.9,0
"YAN_RIZ",16.02.2026 9:57,22.02.2026 0:09,1287.74,12.0,16.7,1601
"YAN_RIZ",19.11.2025 0:25,23.11.2025 5:20,1139.95,11.0,15.1,0
"YAN_RIZ",14.08.2025 19:43,18.08.2025 9:51,1207.26,13.6,17.0,0
"YAN_RIZ",12.05.2025 12:42,15.05.2025 15:34,1135.41,14.9,17.0,0
"YAN_RIZ",17.02.2025 19:05,21.02.2025 7:41,1130.53,13.0,15.9,0
"YAN_RIZ",12.11.2024 8:20,15.11.2024 21:56,1133.72,12.7,16.1,28
"YAN_RIZ",14.01.2026 19:01,18.01.2026 1:21,1171.33,14.8,17.1,0
"YAN_RIZ",10.10.2025 20:36,23.10.2025 22:08,1235.7,13.5,16.0,13556
"YAN_RIZ",12.07.2025 6:51,15.07.2025 22:27,1176.28,15.0,16.8,638
"YAN_RIZ",21.06.2025 23:15,25.06.2025 6:39,1173.85,14.8,17.6,0
"YAN_RIZ",14.12.2025 22:23,18.12.2025 12:33,1212.66,13.8,17.0,0
"YAN_RIZ",24.07.2026 05:48,28.07.2026 10:12,1190.75,-1.0,-1.0,0
